occ_group,occ,No qualification,Cert III/IV,Dip/Ad-dip,Bachelor
Labourers,"Other Farm, Forestry and Garden Workers",45.75875976808672,34.10952861104109,8.980337786740611,11.151373834131586
Labourers,Other Miscellaneous Labourers,56.382066494238046,27.027837229244078,7.01542794598476,9.574668330533111
Labourers,Packers,68.86728646269188,10.270769089679366,6.48378480620866,14.378159641420106
Labourers,"Packers and Product Assemblers, nfd",72.05357142857143,9.0625,5.267857142857143,13.616071428571429
Labourers,Paving and Surfacing Labourers,60.71652205027283,34.095178459611766,3.33214062080687,1.8561588693085247
Labourers,Plastics and Rubber Factory Workers,68.23731728288908,18.417884780739467,5.0386930352536545,8.306104901117799
Labourers,Printing Assistants and Table Workers,59.315503173164096,20.274252039891206,7.468268359020853,12.941976427923844
Labourers,Product Assemblers,61.56886260186977,21.20254027092589,6.976205402164136,10.252391725040203
Labourers,Product Quality Controllers,39.22092692635769,18.51293716235428,10.642593119135627,31.623542792152403
Labourers,Railway Track Workers,55.129566031845144,37.07149547299407,3.965032781767093,3.8339057133936936
Labourers,Recycling and Rubbish Collectors,65.85765336509827,25.49136390708755,4.3478260869565215,4.303156640857654
Labourers,Shelf Fillers,60.70217816833951,15.745283411769606,8.63271000791304,14.919828411977843
Labourers,Structural Steel Construction Workers,53.63638261886367,39.92086195736151,3.506921968637114,2.935833455137709
Labourers,Timber and Wood Process Workers,75.19565471323443,19.09239574816026,2.1726433827823852,3.539306155822918
Labourers,Vending Machine Attendants,53.481318964960955,21.10085823062528,11.053752339162418,14.364070465251338
Machinery Operators and Drivers,"Agricultural, Forestry and Horticultural Plant Operators",58.29725383473528,34.03018307768432,4.153265710044533,3.5192973775358736
Machinery Operators and Drivers,Automobile Drivers,34.78314073099661,10.499950287947502,21.405245003938724,33.31166397711716
Machinery Operators and Drivers,Bus and Coach Drivers,45.1071184429454,25.112535630908926,13.675819994582811,16.104525931562858
Machinery Operators and Drivers,"Clay, Concrete, Glass and Stone Processing Machine Operators",60.17303935249791,28.439854870220483,4.846962508140292,6.540143269141315
Machinery Operators and Drivers,"Crane, Hoist and Lift Operators",55.681229729361426,38.26278923986809,3.848355182469815,2.2076258483006734
Machinery Operators and Drivers,Delivery Drivers,59.468092554345915,19.846326180557988,7.870970000350053,12.814611264746034
Machinery Operators and Drivers,"Drillers, Miners and Shot Firers",52.44631473427556,39.87981183399206,4.560049704228514,3.1138237275038767
Machinery Operators and Drivers,Earthmoving Plant Operators,59.526762240190486,36.36589116523638,2.763033880648842,1.3443127139243018
Machinery Operators and Drivers,Engineering Production Workers,49.026187656270565,38.25338860376365,7.157191735754704,5.5632320042110806
Machinery Operators and Drivers,Forklift Drivers,70.539532673594607,19.96880358655455,4.757969547342107,4.733694192508729
Machinery Operators and Drivers,Industrial Spraypainters,52.326296372207416,42.73416683746669,2.5620004099200653,2.3775363804058207
Machinery Operators and Drivers,"Machine and Stationary Plant Operators, nfd",64.53028135431569,24.282308059132095,4.883166428230806,6.304244158321413
Machinery Operators and Drivers,"Machine Operators, nfd",62.198860618934965,25.17138994834162,5.892434702843624,6.7373147298797855
Machinery Operators and Drivers,"Machinery Operators and Drivers, nfd",53.204686423156446,37.01371230304902,6.038641602699683,3.742959671094845
