occ_group,occ,No qualification,Cert III/IV,Dip/Ad-dip,Bachelor
Technicians and Trades Workers,Bakers and Pastrycooks,2752.6,4771.7,1296.2,1264.8
Technicians and Trades Workers,Boat Builders and Shipwrights,294.4,773.9,57.6,39.7
Technicians and Trades Workers,Bricklayers and Stonemasons,2566.8,6067.8,250.7,167.8
Technicians and Trades Workers,"Building and Engineering Technicians, nfd",470.1,654.5,968.4,721.7
Technicians and Trades Workers,Butchers and Smallgoods Makers,1278.2,3966.9,112.4,163.8
Technicians and Trades Workers,Cabinetmakers,1245.6,6136.6,268,215.6
Technicians and Trades Workers,Canvas and Leather Goods Makers,290.3,200.8,44,46.3
Technicians and Trades Workers,Carpenters and Joiners,3902.6,33721.2,1480.7,1013.2
Technicians and Trades Workers,Chefs,6496.5,17997.4,7620.7,5262.3
Technicians and Trades Workers,"Chemical, Gas, Petroleum and Power Generation Plant Operators",667.1,1685.8,388.7,291.3
Technicians and Trades Workers,Civil Engineering Draftspersons and Technicians,616.1,685.6,1462.3,857.4
Technicians and Trades Workers,Clothing Trades Workers,733.6,275.5,395.1,381
Technicians and Trades Workers,"Construction Trades Workers, nfd",212.4,407,36.6,48.7
Technicians and Trades Workers,Cooks,5205.6,3058.1,2695.6,2090.2
Technicians and Trades Workers,Electrical Distribution Trades Workers,236,2954.4,134.3,82.1
Technicians and Trades Workers,Electrical Engineering Draftspersons and Technicians,300,1670.7,737.4,483.4
Technicians and Trades Workers,Electricians,1709.8,40755.1,2546,1130.7
Technicians and Trades Workers,Electronic Engineering Draftspersons and Technicians,187.4,570.6,344.7,319.7
Technicians and Trades Workers,"Electronics and Telecommunications Trades Workers, nfd",87.8,145.3,21.1,14.8
Technicians and Trades Workers,Electronics Trades Workers,2780.2,3248.3,1505.2,1532.4
Technicians and Trades Workers,"Electrotechnology and Telecommunications Trades Workers, nfd",121.7,875.6,62.1,46.1
Technicians and Trades Workers,"Engineering, ICT and Science Technicians, nfd",302.4,273.3,317.9,849.3
Technicians and Trades Workers,Floor Finishers,1433.8,1500.6,105.8,111.9
Technicians and Trades Workers,Florists,544.8000000000001,828.3,250.8,355.3
Technicians and Trades Workers,"Gallery, Library and Museum Technicians",277.6,160.20000000000002,527.1,593.5
Technicians and Trades Workers,Gardeners,6680.9,8858.3,2027.7,1321.8
Technicians and Trades Workers,Glaziers,1148,2188.3,88.5,84.3
Technicians and Trades Workers,Graphic Pre-press Trades Workers,137.4,260.1,177.2,162
Technicians and Trades Workers,Greenkeepers,1101.6000000000001,1993.2,364.1,120.3
Technicians and Trades Workers,Hairdressers,1359.9,17539.7,1735.3,378.2
Technicians and Trades Workers,ICT Support Technicians,4218.1,2574.8,3627.4,9642.3
Technicians and Trades Workers,Jewellers,275.8,504.40000000000003,148.9,217.8
Technicians and Trades Workers,Mechanical Engineering Draftspersons and Technicians,167.6,506.5,454.6,330
Technicians and Trades Workers,Medical Technicians,1884.8,2551.7,1419.6,3069.8
Technicians and Trades Workers,"Metal Casting, Forging and Finishing Trades Workers",337.4,410.7,58.7,37.9
Technicians and Trades Workers,Metal Fitters and Machinists,2284.8,27119.1,1603.4,758.2
Technicians and Trades Workers,Motor Mechanics,2542.4,26184.8,1968.8,833.1
Technicians and Trades Workers,Nurserypersons,200.7,266.8,160.9,150.7
Technicians and Trades Workers,Other Building and Engineering Technicians,1678.2,3480.7,1217.3,1399.3
Technicians and Trades Workers,Other Miscellaneous Technicians and Trades Workers,2028.2,2130.7,997.8,1104.4
Technicians and Trades Workers,Painting Trades Workers,5062.8,9349.2,733.2,616.8
Technicians and Trades Workers,Panelbeaters,490,3296.8,69.6,47.6
Technicians and Trades Workers,"Panelbeaters, and Vehicle Body Builders, Trimmers and Painters, nfd",62.8,290.4,8.9,10.6
Technicians and Trades Workers,Performing Arts Technicians,1312.1,809.9,1165.5,1414.8
Technicians and Trades Workers,Plasterers,4773.2,6055.7,467.5,376.1
Technicians and Trades Workers,Plumbers,2444.6,23351.2,707.9,312.7
Technicians and Trades Workers,Precision Metal Trades Workers,379.9,1309.6,165.1,222.1
Technicians and Trades Workers,Primary Products Inspectors,161.7,188.3,118.3,308.5
Technicians and Trades Workers,Print Finishers and Screen Printers,413.90000000000003,428.7,65.8,79.9
Technicians and Trades Workers,Printers,889.7,1755.7,278.4,300.5
Technicians and Trades Workers,Roof Tilers,743.6,1493.8,30,30
Technicians and Trades Workers,Safety Inspectors,169.1,299.4,232.5,343.6
Technicians and Trades Workers,Science Technicians,850.2,763.7,787.1,2330.5
Technicians and Trades Workers,Shearers,685.5,371.2,16.1,13.8
Technicians and Trades Workers,Sheetmetal Trades Workers,376.8,1448.9,49.5,34
Technicians and Trades Workers,Signwriters,625.8,1077.8,152.5,111.7
Technicians and Trades Workers,Structural Steel and Welding Trades Workers,3771.1,18320.5,731.7,484.4
Technicians and Trades Workers,"Technicians and Trades Workers, nfd",1469.9,3198.9,785.7,912.3
Technicians and Trades Workers,Telecommunications Technical Specialists,277.7,442.3,390.2,805.6
Technicians and Trades Workers,Telecommunications Trades Workers,1751.4,3473.9,928.8000000000001,1132.6
Technicians and Trades Workers,Toolmakers and Engineering Patternmakers,106,434.1,147.6,51.3
Technicians and Trades Workers,Upholsterers,239.8,379.3,22.2,24.1
Technicians and Trades Workers,Vehicle Body Builders and Trimmers,541.7,1123.4,51.7,33.9
Technicians and Trades Workers,Vehicle Painters,701.7,3137.5,72.4,43.1
Technicians and Trades Workers,Veterinary Nurses,849,1652.5,503.2,387.4
Technicians and Trades Workers,Wall and Floor Tilers,2691.2,4200.8,314.8,311.7
Technicians and Trades Workers,Wood Machinists and Other Wood Trades Workers,426.90000000000003,547.8,65.1,139.9
