occ_group,occ,No qualification,Cert III/IV,Dip/Ad-dip,Bachelor
Community and Personal Service Workers,Tourism and Travel Advisers,2691,1861.6,2221.7,2631.7
Community and Personal Service Workers,Travel Attendants,1718.5,671.6,657.6,655.6
Community and Personal Service Workers,Waiters,7806.8,2556.3,2473.9,5324.3
Community and Personal Service Workers,Welfare Support Workers,2817.4,3373.1,4156.9,7606.9
Labourers,Aquaculture Workers,92.8,60.7,13,28.5
Labourers,Building and Plumbing Labourers,9750.4,5953.4,834.2,1026.9
Labourers,Car Detailers,3260.4,842,273.6,401
Labourers,Caretakers,504.2,392.40000000000003,102.3,123.3
Labourers,"Cleaners and Laundry Workers, nfd",3415,720.3,356.6,527.3
Labourers,Commercial Cleaners,20066.9,4800,2472.3,5009.5
Labourers,Concreters,6312.2,5074.1,306.8,206.3
Labourers,"Construction and Mining Labourers, nfd",468.9,306.3,36.9,41
Labourers,Crop Farm Workers,4960.8,1241.1,463,1087.8
Labourers,Deck and Fishing Hands,991,605.7,160.5,135.3
Labourers,Domestic Cleaners,6065.5,1564.3,1021.1,1357.7
Labourers,"Factory Process Workers, nfd",2526.9,480.3,154.5,322.3
Labourers,"Farm, Forestry and Garden Workers, nfd",733.1,289.5,62.3,87.1
Labourers,Fast Food Cooks,2138.7,666,474.5,745
Labourers,Fencers,1791,956.4,128.6,102.2
Labourers,Food and Drink Factory Workers,5908.2,2157,791.5,1541.7
Labourers,"Food Process Workers, nfd",150.1,42.2,11.3,31.4
Labourers,Food Trades Assistants,648.3,180.2,84.5,153.6
Labourers,Forestry and Logging Workers,386.7,182.6,39.2,69.3
Labourers,Freight and Furniture Handlers,2418.7,1005,199.9,247.4
Labourers,Garden and Nursery Labourers,4116.2,2323.1,454.2,435
Labourers,Handypersons,3373.4,3057.3,577.1,601.4
Labourers,Housekeepers,5822.4000000000005,1352.5,792.9,2080.7
Labourers,Insulation and Home Improvement Installers,3324.4,2392.8,280.3,248.1
Labourers,Kitchenhands,11236,2925.1,1827,3721.1
Labourers,"Labourers, nfd",4688.7,1705.7,306.7,446
Labourers,Laundry Workers,2395.4,467.3,253.6,522.4
Labourers,Livestock Farm Workers,4618,2076.9,501.4,662.1
Labourers,"Meat Boners and Slicers, and Slaughterers",2492,963.2,119.7,270.3
Labourers,"Meat, Poultry and Seafood Process Workers",4873,1047.6,327.9,676.7
Labourers,Metal Engineering Process Workers,1547.3,723.5,97.7,112.4
Labourers,"Miscellaneous Factory Process Workers, nfd",350.4,69.9,19.1,31.5
Labourers,Mixed Crop and Livestock Farm Workers,511.4,375.2,54.6,101.2
Labourers,Motor Vehicle Parts and Accessories Fitters,2897.9,1565.4,130.2,89
Labourers,Other Cleaners,2027.4,901.8000000000001,247,266.5
Labourers,Other Construction and Mining Labourers,1239.6,977.7,107.8,166.2
Labourers,Other Factory Process Workers,2437.7,523.9,152.4,279.1
Labourers,"Other Farm, Forestry and Garden Workers",1452.2,1082.5,285,353.9
